"gene","module"
"RNU1-1","grey"
"RNU1-3","grey"
"RNVU1-7","grey"
"ZG16","blue"
"CLCA1","blue"
"XIST","magenta"
"IGHA2","yellow"
"CLCA4","blue"
"CA1","blue"
"AQP8","blue"
"RPS4Y1","magenta"
"UGT2B17","grey"
"SLC26A3","blue"
"REG1A","grey"
"IGHA1","yellow"
"JCHAIN","yellow"
"IGKJ4","yellow"
"OTOP2","blue"
"TSIX","magenta"
"GCG","blue"
"CEACAM7","blue"
"DPEP1","turquoise"
"CD177","blue"
"MS4A12","blue"
"MTRNR2L6","grey"
"CHGA","blue"
"TMIGD1","blue"
"IGKJ1","yellow"
"BEST4","blue"
"MTRNR2L1","grey"
"IGLV8-61","yellow"
"IGHJ6","yellow"
"ITLN1","blue"
"IGKJ3","yellow"
"DES","turquoise"
"PYY","blue"
"CLDN8","blue"
"OLFM4","grey"
"GUCA2B","blue"
"KDM5D","magenta"
"SLC6A19","blue"
"GUCA2A","blue"
"CA7","blue"
"IGHJ5","yellow"
"DMBT1","grey"
"IGHJ1","yellow"
"IGKV2-30","yellow"
"CST1","brown"
"MMP7","brown"
"IGKC","yellow"
"DDX3Y","magenta"
"IGLV7-46","yellow"
"CLDN2","brown"
"INSL5","blue"
"IGKJ5","yellow"
"FCGBP","blue"
"KRT23","turquoise"
"IGKV3-20","yellow"
"IGHV3-72","yellow"
"NOTUM","brown"
"IGLC1","yellow"
"IGLV3-19","yellow"
"IGHV3-23","yellow"
"IGLL5","yellow"
"IGHV3-7","yellow"
"IGHJ3","yellow"
"IGHV4-28","yellow"
"IGHV1-3","yellow"
"SPINK4","grey"
"UGT2B15","grey"
"IGKV3-11","yellow"
"CDH3","brown"
"IGLV10-54","yellow"
"REG4","grey"
"IGHJ4","yellow"
"SPIB","blue"
"SLC28A2","grey"
"IGHV3-74","yellow"
"PRAC1","grey"
"IGLC2","yellow"
"SNORA109","grey"
"BMP3","brown"
"REG3A","grey"
"IGLV2-14","yellow"
"SLC30A10","blue"
"CA4","blue"
"IGKV2D-30","yellow"
"IGLV2-8","yellow"
"LOC105371811","grey"
"HSD3B2","blue"
"IGLJ2","yellow"
"IGLV3-10","yellow"
"HOXB13","grey"
"SCNN1B","blue"
"B3GNT7","blue"
"ACTG2","turquoise"
"IGHV4-59","yellow"
"IGLC3","yellow"
"CLDN1","brown"
"SPP1","red"
"IGLV1-44","yellow"
"IGHV3-48","yellow"
"IGHJ2","yellow"
"IGLV4-69","yellow"
"KRT80","brown"
"LOC102723407","yellow"
"IGKJ2","yellow"
"B4GALNT2","blue"
"MMP1","blue"
"IGHV7-4-1","yellow"
"ANPEP","blue"
"ADH1C","blue"
"HEPACAM2","blue"
"IGKV3D-20","yellow"
"IGHM","yellow"
"TXLNGY","magenta"
"MIR650","yellow"
"FAM3B","grey"
"IGKV2-29","yellow"
"IGHV3-15","yellow"
"MT-TV","grey"
"IGLC6","yellow"
"IGLV2-28","yellow"
"SYNM","turquoise"
"B3GNT6","blue"
"BEST2","blue"
"IGHV3-30","yellow"
"IGKV1-12","yellow"
"IGLJ3","yellow"
"IGHV5-51","yellow"
"MYH11","turquoise"
"IGHV3-11","yellow"
"CA2","blue"
"KLK6","black"
"IGKV1-17","yellow"
"IGLV2-11","yellow"
"IGKV1-6","yellow"
"IGKV1-9","yellow"
"USP9Y","magenta"
"IGHV3-49","yellow"
"MUC2","blue"
"HAND1","turquoise"
"MUC4","blue"
"IGKV2D-28","yellow"
"IGKV2-28","yellow"
"ADH1B","turquoise"
"ADAMDEC1","yellow"
"SLC4A4","blue"
"IGHV3-73","yellow"
"CHRDL2","turquoise"
"INHBA","blue"
"CHP2","blue"
"REG1B","grey"
"IGLV3-1","yellow"
"IGHV4-4","yellow"
"FOXQ1","brown"
"CXCL8","blue"
"CNN1","turquoise"
"IGHV3-33","yellow"
"UTY","magenta"
"IGKV1-33","yellow"
"CPNE7","brown"
"IGHV3-43","yellow"
"IGKV2D-29","yellow"
"CLCA4-AS1","blue"
"SCARA5","blue"
"C7","turquoise"
"IGLV2-23","yellow"
"IGLV1-47","yellow"
"MUC5AC","grey"
"KRT17","black"
"IGHV4-39","yellow"
"SFRP1","turquoise"
"SCN7A","turquoise"
"IGKV1-16","yellow"
"COL11A1","red"
"IGHV6-1","yellow"
"IGHV3-21","yellow"
"IGKV1D-39","yellow"
"B3GALT5-AS1","blue"
"LOC102724638","yellow"
"MUC5B","grey"
"IGHV3-64D","yellow"
"LINC03040","brown"
"IGLV1-40","yellow"
"IGKV1D-33","yellow"
"IGKV3-15","yellow"
"IGHV3-66","yellow"
"TRPM6","blue"
"IGLV5-45","yellow"
"IGHV5-10-1","yellow"
"EIF1AY","magenta"
"NXPE4","blue"
"SI","blue"
"IGKV1-39","yellow"
"IGKV4-1","yellow"
"HOTTIP","grey"
"ETV4","brown"
"SLC26A2","blue"
"IGKV2-24","yellow"
"CASQ2","turquoise"
"IGLC7","yellow"
"LYPD8","blue"
"IGHV3-53","yellow"
"MT-RNR2","grey"
"IGKV3D-15","yellow"
"GPR15","yellow"
"IGHV1-69","yellow"
"MMP3","blue"
"IGHV3-13","yellow"
"NXPE1","blue"
"IGHV4-34","yellow"
"URAD","grey"
"IGLV3-25","yellow"
"LOC105376567","blue"
"IGLV7-43","yellow"
"CEMIP","brown"
"ATP1A2","turquoise"
"MT1G","blue"
"BTNL8","blue"
"SFRP4","red"
"SCGN","turquoise"
"IGKV1-5","yellow"
"LOC105371009","turquoise"
"IGHV1-18","yellow"
"KLK10","black"
"CHGB","blue"
"RNA28SN1","grey"
"PLP1","turquoise"
"MT1M","blue"
"IGHV2-5","yellow"
"IGLV6-57","yellow"
"SMYD1","turquoise"
"IGLV3-21","yellow"
"RNA28SN2","grey"
"PAX8-AS1","grey"
"IGLJ1","yellow"
"ABCA8","turquoise"
"THBS4","turquoise"
"RNA28SN5","grey"
"TNC","red"
"IGLV2-18","yellow"
"FLNC","turquoise"
"IGLV1-36","yellow"
"IGKV6-21","yellow"
"IGLV1-51","yellow"
"UGT2A3","blue"
"IGLC5","yellow"
"PRIMA1","turquoise"
"IGHV4-30-2","yellow"
"SFRP2","turquoise"
"SLC51A","grey"
"IGHV1-69D","yellow"
"MT-TF","grey"
"PLIN4","turquoise"
"IGHV4-61","yellow"
"IGHV3-20","yellow"
"IGKV1D-16","yellow"
"LINC02418","turquoise"
"IGHV1-46","yellow"
"GREM2","turquoise"
"KRT24","brown"
"PCP4","grey"
"IGKV1D-17","yellow"
"IGKV1-13","yellow"
"SYNPO2","turquoise"
"DSG3","black"
"IGLV2-34","yellow"
"TACR2","turquoise"
"S100P","turquoise"
"IGHV4-55","yellow"
"RNA28SN4","grey"
"CHRDL1","turquoise"
"SST","blue"
"MZB1","yellow"
"IGLV2-33","yellow"
"KRT6B","black"
"LRRC26","blue"
"SPINK1","grey"
"PITX2","grey"
"COMP","red"
"ZFY","magenta"
"STYXL2","grey"
"CHRM2","turquoise"
"MT1H","blue"
"GRIN2D","brown"
"DEFA6","grey"
"CXCL5","blue"
"RNA28SN3","grey"
"IGKV1-27","yellow"
"LINC00261","blue"
"TRIM29","black"
"COL10A1","red"
"IGHV3-16","yellow"
"IGLC4","yellow"
"PLA2G2A","grey"
"TACSTD2","brown"
"LGR5","turquoise"
"STMN2","turquoise"
"IGLV1-41","yellow"
"GALNT8","blue"
"IGKV3D-11","yellow"
"VIP","turquoise"
"IGHV1-2","yellow"
"VSIG2","blue"
"WNT2","brown"
"HSPB6","turquoise"
"ALDOB","grey"
"DPT","turquoise"
"PLAC8","blue"
"ATOH1","blue"
"TMEM72","blue"
"IGLV3-9","yellow"
"DEFA5","grey"
"LOC105374034","blue"
"H19","red"
"SATB2-AS1","blue"
"MSLN","grey"
"PIGR","blue"
"IGHV1-24","yellow"
"FNDC1","red"
"IGHG2","grey"
"IGHG1","grey"
"CDKN2B-AS1","blue"
"SPEG","turquoise"
"HPGD","blue"
"SLC17A4","blue"
"LCN2","turquoise"
"C11orf86","blue"
"STUM","turquoise"
"HOXD13","grey"
"CWH43","blue"
"TMEM236","blue"
"LY6G6F-LY6G6D","brown"
"HAND2","turquoise"
"IGKV6D-21","yellow"
"UCA1","turquoise"
"LY6G6D","brown"
"DSC3","grey"
"PGM5","turquoise"
"THBS2","red"
"PNCK","turquoise"
"BTNL3","blue"
"FABP2","blue"
"SCNN1G","grey"
"IGKV1D-13","yellow"
"PKIB","blue"
"CHST5","blue"
"CCL21","turquoise"
"IGKV1-8","yellow"
"PCSK9","brown"
"HSD17B2","blue"
"NPTX1","turquoise"
"PADI2","blue"
"AZGP1","turquoise"
"CADM3","turquoise"
"FGG","grey"
"SLC6A14","grey"
"MYL9","turquoise"
"HSPB8","turquoise"
"MTRNR2L2","grey"
"IGHG3","grey"
"PDX1","turquoise"
"ST6GALNAC1","blue"
"KLK1","blue"
"FAM30A","yellow"
"ITLN2","blue"
"LOC389602","turquoise"
"MMP11","red"
"CYP2W1","turquoise"
"IGHV3-41","yellow"
"DUOXA2","grey"
"LRRN2","blue"
"FABP6","turquoise"
"IGHV2-70","yellow"
"PI16","turquoise"
"CEL","grey"
"HSPB7","turquoise"
"HMGCS2","green"
"TNXB","turquoise"
"MT1E","blue"
"DUOX2","grey"
"CYP4F2","grey"
"MASP1","turquoise"
"ABCG2","blue"
"CLC","grey"
"LMOD1","turquoise"
"ASCL2","turquoise"
"ADTRP","blue"
"GFRA1","turquoise"
"PSD","turquoise"
"LINC01819","grey"
"PCK1","blue"
"NRXN1","turquoise"
"HAND2-AS1","turquoise"
"GP2","grey"
"GPM6A","turquoise"
"TPH1","blue"
"FOSB","grey"
"CCAT1","turquoise"
"SERPINB5","grey"
"ALPI","blue"
"NLRP2","grey"
"ESM1","brown"
"SLC6A20","turquoise"
"IGHG4","grey"
"IGKV3-7","yellow"
"JPH2","turquoise"
"PRSS22","brown"
"FEZF1-AS1","blue"
"TFF3","green"
"MUC12","blue"
"EDN3","blue"
"CKB","blue"
"AMPD1","yellow"
"PRKY","magenta"
"IGHV2-26","yellow"
"VSTM2A","blue"
"IGKV1D-12","yellow"
"NXPE2","blue"
"FER1L6","blue"
"CILP","turquoise"
"RETNLB","blue"
"CHI3L1","blue"
"SELENOP","blue"
"AKR1B10","blue"
"SPDEF","blue"
"FMN2","turquoise"
"CFD","brown"
"IGHV3-69-1","yellow"
"FABP4","turquoise"
"B3GALT5","blue"
"MAP7D2","grey"
"TCN1","turquoise"
"ZBTB16","turquoise"
"COL8A1","red"
"LOC105369526","blue"
"CXCL1","brown"
"TM4SF20","grey"
"LARGE2","turquoise"
"BGN","red"
"DHRS9","blue"
"NPSR1","grey"
"MT1F","blue"
"CNTFR","blue"
"PLN","turquoise"
"CYP4F11","grey"
"PRORY","magenta"
"SULT1B1","blue"
"IGLV4-60","yellow"
"MUC5B-AS1","grey"
"ELAPOR1","green"
"CTHRC1","red"
"CA9","blue"
"KCNMA1","turquoise"
"REP15","blue"
"IGKV2D-24","yellow"
"PCSK2","turquoise"
"LYVE1","turquoise"
"TPM2","turquoise"
"KCNMB1","turquoise"
"GBA3","grey"
"LOC102724562","grey"
"DNASE1L3","yellow"
"DKK2","red"
"IGLV3-27","yellow"
"IRF4","yellow"
"ANGPTL1","turquoise"
"IGF2","grey"
"L1CAM","turquoise"
"PDZRN4","turquoise"
"CCL24","turquoise"
"PRELP","turquoise"
"IGHGP","grey"
"PCSK1","grey"
"CYP2B6","grey"
"IGHV3-64","yellow"
"NEURL1","blue"
"CCL19","pink"
"SLC13A2","blue"
"CR2","pink"
"PKP1","brown"
"VWA2","turquoise"
"LCN15","grey"
"RAMP1","turquoise"
"LOC105373974","grey"
"MFAP5","turquoise"
"CCDC152","blue"
"IGKV1D-37","yellow"
"POU2AF1","yellow"
"CLEC3B","turquoise"
"MS4A1","pink"
"CCBE1","turquoise"
"TPSG1","blue"
"ACSL6","turquoise"
"MYOC","turquoise"
"FHL1","turquoise"
"STC2","blue"
"SCN9A","turquoise"
"ABI3BP","turquoise"
"INS-IGF2","grey"
"LYZ","grey"
"BCHE","turquoise"
"PDK4","turquoise"
"ANO5","brown"
"ALDH1L1","grey"
"SIM2","brown"
"LDB3","turquoise"
"FABP1","blue"
"CDH19","turquoise"
"IGKV2D-40","yellow"
"GSTA1","grey"
"FCRL5","yellow"
"CCL28","blue"
"WFDC2","blue"
"C2CD4A","brown"
"ADAM12","red"
"KLK11","grey"
"FAP","red"
"CCL20","grey"
"KLK8","black"
"C2orf88","blue"
"CAPN9","blue"
"NTSR1","turquoise"
"STRA6","blue"
"HHLA2","blue"
"LEFTY1","grey"
"IGHV3-9","yellow"
"CD79A","yellow"
"ALB","grey"
