"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002443","leukocyte mediated immunity","139/2538","483/18805",0.287784679089027,2.13230531531487,9.95790247914749,3.86253355707206e-19,2.3264039614245e-15,1.83653306076784e-15,"DDX21/TREM1/HSPD1/ZP3/DAO/ULBP3/ANXA3/KIR2DL4/EXO1/IL6R/TLR9/CFI/ULBP2/RAET1L/AZGP1/FCGR3A/CD177/IL1B/CD160/SECTM1/LAG3/IL23A/STAP1/FCGR3B/CD55/NECTIN4/SPON2/ULBP1/FCGR1A/CXCL6/TLR3/IL6/PLCG2/FCAR/C2/KLRB1/ELANE/CD7/C4BPB/NOD2/CD19/KLRC4-KLRK1/HPRT1/CR2/GZMB/DNASE1L3/GZMM/KIT/KLRC4/CD96/SLAMF7/KLRK1/FCER2/PTGDR/CD8A/SCNN1B/CEACAM1/IGHV1-45/TBX21/KLRC3/FCGR1BP/IGHV3-16/AICDA/KLRC2/CHGA/PIK3CG/IGHV2-5/FCMR/IGHA2/CADM1/POMC/CCR2/KLRC1/NCR1/SLAMF1/GRP/IGHV1-69-2/GPR15LG/IGLL1/CD1A/IGHV2-70D/IGLC6/IGLC2/IGLC3/IGHV1-18/IGHV3-64/IGHV3-38/IGHV7-4-1/IGHA1/SCN11A/IGHV4-59/IGHV4-61/IGHV3-72/PLA2G3/IL13RA2/C7/IGHV3-35/IGHV3-49/IGLL5/C4BPA/CLEC4G/IGLC1/IGHV3-33/IGHV3-7/IGHV3-13/IGKC/IGHV4-39/IGLC7/CD70/IGHV3-74/CTSG/IGHV1-69D/IGHV3-30/IGHG1/IGHV3-66/IGHV5-51/SH2D1B/IGHV3-48/IGHV3-11/IGHV3-23/IGHV1-58/IGHV3-20/IGHV1-69/IGHV4-34/FOXJ1/IGHV2-70/IGHV3-64D/IGHV3-15/IGHG3/IGHV3-9/IGHV1-3/TREM2/IGHV3-43/IGHV3-21/IGHV4-28/IGHE/IGHV4-4/IGHV3-73/IGHD",139
"GO:0019724","B cell mediated immunity","78/2538","208/18805",0.375,2.77851654846336,10.187915383592,2.33783969666431e-18,6.94220139840749e-15,5.48038199474062e-15,"HSPD1/ZP3/EXO1/CFI/FCGR3A/FCGR3B/CD55/FCGR1A/C2/C4BPB/NOD2/CD19/CR2/FCER2/IGHV1-45/TBX21/FCGR1BP/IGHV3-16/AICDA/IGHV2-5/FCMR/IGHA2/IGHV1-69-2/IGLL1/IGHV2-70D/IGLC6/IGLC2/IGLC3/IGHV1-18/IGHV3-64/IGHV3-38/IGHV7-4-1/IGHA1/IGHV4-59/IGHV4-61/IGHV3-72/IL13RA2/C7/IGHV3-35/IGHV3-49/IGLL5/C4BPA/IGLC1/IGHV3-33/IGHV3-7/IGHV3-13/IGKC/IGHV4-39/IGLC7/CD70/IGHV3-74/IGHV1-69D/IGHV3-30/IGHG1/IGHV3-66/IGHV5-51/IGHV3-48/IGHV3-11/IGHV3-23/IGHV1-58/IGHV3-20/IGHV1-69/IGHV4-34/FOXJ1/IGHV2-70/IGHV3-64D/IGHV3-15/IGHG3/IGHV3-9/IGHV1-3/TREM2/IGHV3-43/IGHV3-21/IGHV4-28/IGHE/IGHV4-4/IGHV3-73/IGHD",78
"GO:0016064","immunoglobulin mediated immune response","77/2538","205/18805",0.375609756097561,2.78303446155029,10.1390529775771,3.45784562431055e-18,6.94220139840749e-15,5.48038199474062e-15,"HSPD1/ZP3/EXO1/CFI/FCGR3A/FCGR3B/CD55/FCGR1A/C2/C4BPB/NOD2/CD19/CR2/FCER2/IGHV1-45/TBX21/FCGR1BP/IGHV3-16/AICDA/IGHV2-5/FCMR/IGHA2/IGHV1-69-2/IGLL1/IGHV2-70D/IGLC6/IGLC2/IGLC3/IGHV1-18/IGHV3-64/IGHV3-38/IGHV7-4-1/IGHA1/IGHV4-59/IGHV4-61/IGHV3-72/IL13RA2/C7/IGHV3-35/IGHV3-49/IGLL5/C4BPA/IGLC1/IGHV3-33/IGHV3-7/IGHV3-13/IGKC/IGHV4-39/IGLC7/IGHV3-74/IGHV1-69D/IGHV3-30/IGHG1/IGHV3-66/IGHV5-51/IGHV3-48/IGHV3-11/IGHV3-23/IGHV1-58/IGHV3-20/IGHV1-69/IGHV4-34/FOXJ1/IGHV2-70/IGHV3-64D/IGHV3-15/IGHG3/IGHV3-9/IGHV1-3/TREM2/IGHV3-43/IGHV3-21/IGHV4-28/IGHE/IGHV4-4/IGHV3-73/IGHD",77
"GO:0030198","extracellular matrix organization","105/2538","339/18805",0.309734513274336,2.29493992203463,9.50342715942262,3.57854918688086e-17,5.38840043814586e-14,4.25376491503707e-14,"COL11A1/MMP7/TGFBI/MMP1/MMP3/FAP/MMP11/EGFL6/ADAMTS12/COL10A1/ADAMTS6/COMP/COL1A1/ADAMTS2/MMP10/FKBP10/PDPN/MATN3/ITGA2/ZNF469/COL7A1/WDR72/RUNX1/IBSP/SULF1/COL8A1/AGT/GAS2/MMP14/BMP2/WT1/MMP13/SERPINB5/KLK7/COL1A2/ADAMTSL1/SCX/COL19A1/COL5A2/HPSE2/AXIN2/LAMA1/COL12A1/SOX9/C6orf15/CTSV/ITGA8/FSCN1/SERPINH1/FERMT1/COL3A1/P4HA3/IL6/MMP28/ADAMTS4/COL4A6/LOX/FOXF2/LOXL2/COL9A1/ELANE/DPT/ADAMTS1/MELTF/CARMIL2/COL27A1/COL4A1/CCDC80/FOXC1/VIT/ABI3BP/COL9A3/MMP12/COL4A3/LTBP4/COL5A1/TNXB/TNFRSF11B/ADAMTS18/ADTRP/OLFML2B/CMA1/COL18A1/PRSS2/MMP2/PTX3/ADAMTS19/MATN2/FGFR4/GPM6B/ANTXR1/POSTN/HPN/COL2A1/MMP9/SPINK5/MYH11/LOXL4/CTSG/COLGALT2/ANGPTL7/TPSAB1/ADAMTSL3/APLP1/COL6A5",105
"GO:0043062","extracellular structure organization","105/2538","340/18805",0.308823529411765,2.28819009873453,9.46808081268538,4.5049731237221e-17,5.42669062483564e-14,4.2839923368111e-14,"COL11A1/MMP7/TGFBI/MMP1/MMP3/FAP/MMP11/EGFL6/ADAMTS12/COL10A1/ADAMTS6/COMP/COL1A1/ADAMTS2/MMP10/FKBP10/PDPN/MATN3/ITGA2/ZNF469/COL7A1/WDR72/RUNX1/IBSP/SULF1/COL8A1/AGT/GAS2/MMP14/BMP2/WT1/MMP13/SERPINB5/KLK7/COL1A2/ADAMTSL1/SCX/COL19A1/COL5A2/HPSE2/AXIN2/LAMA1/COL12A1/SOX9/C6orf15/CTSV/ITGA8/FSCN1/SERPINH1/FERMT1/COL3A1/P4HA3/IL6/MMP28/ADAMTS4/COL4A6/LOX/FOXF2/LOXL2/COL9A1/ELANE/DPT/ADAMTS1/MELTF/CARMIL2/COL27A1/COL4A1/CCDC80/FOXC1/VIT/ABI3BP/COL9A3/MMP12/COL4A3/LTBP4/COL5A1/TNXB/TNFRSF11B/ADAMTS18/ADTRP/OLFML2B/CMA1/COL18A1/PRSS2/MMP2/PTX3/ADAMTS19/MATN2/FGFR4/GPM6B/ANTXR1/POSTN/HPN/COL2A1/MMP9/SPINK5/MYH11/LOXL4/CTSG/COLGALT2/ANGPTL7/TPSAB1/ADAMTSL3/APLP1/COL6A5",105
"GO:0045229","external encapsulating structure organization","105/2538","341/18805",0.30791788856305,2.28147986384088,9.4328575711134,5.66379070091763e-17,5.68550189860448e-14,4.48830571860437e-14,"COL11A1/MMP7/TGFBI/MMP1/MMP3/FAP/MMP11/EGFL6/ADAMTS12/COL10A1/ADAMTS6/COMP/COL1A1/ADAMTS2/MMP10/FKBP10/PDPN/MATN3/ITGA2/ZNF469/COL7A1/WDR72/RUNX1/IBSP/SULF1/COL8A1/AGT/GAS2/MMP14/BMP2/WT1/MMP13/SERPINB5/KLK7/COL1A2/ADAMTSL1/SCX/COL19A1/COL5A2/HPSE2/AXIN2/LAMA1/COL12A1/SOX9/C6orf15/CTSV/ITGA8/FSCN1/SERPINH1/FERMT1/COL3A1/P4HA3/IL6/MMP28/ADAMTS4/COL4A6/LOX/FOXF2/LOXL2/COL9A1/ELANE/DPT/ADAMTS1/MELTF/CARMIL2/COL27A1/COL4A1/CCDC80/FOXC1/VIT/ABI3BP/COL9A3/MMP12/COL4A3/LTBP4/COL5A1/TNXB/TNFRSF11B/ADAMTS18/ADTRP/OLFML2B/CMA1/COL18A1/PRSS2/MMP2/PTX3/ADAMTS19/MATN2/FGFR4/GPM6B/ANTXR1/POSTN/HPN/COL2A1/MMP9/SPINK5/MYH11/LOXL4/CTSG/COLGALT2/ANGPTL7/TPSAB1/ADAMTSL3/APLP1/COL6A5",105
"GO:0002449","lymphocyte mediated immunity","113/2538","384/18805",0.294270833333333,2.18036368039138,9.23085747676585,1.48650996873444e-16,1.2790356488125e-13,1.0097091020712e-13,"HSPD1/ZP3/ULBP3/KIR2DL4/EXO1/CFI/ULBP2/RAET1L/AZGP1/FCGR3A/IL1B/CD160/SECTM1/LAG3/IL23A/FCGR3B/CD55/NECTIN4/ULBP1/FCGR1A/IL6/C2/KLRB1/CD7/C4BPB/NOD2/CD19/KLRC4-KLRK1/HPRT1/CR2/GZMB/GZMM/KLRC4/CD96/SLAMF7/KLRK1/FCER2/CD8A/CEACAM1/IGHV1-45/TBX21/KLRC3/FCGR1BP/IGHV3-16/AICDA/KLRC2/IGHV2-5/FCMR/IGHA2/CADM1/CCR2/KLRC1/NCR1/SLAMF1/IGHV1-69-2/IGLL1/CD1A/IGHV2-70D/IGLC6/IGLC2/IGLC3/IGHV1-18/IGHV3-64/IGHV3-38/IGHV7-4-1/IGHA1/IGHV4-59/IGHV4-61/IGHV3-72/IL13RA2/C7/IGHV3-35/IGHV3-49/IGLL5/C4BPA/CLEC4G/IGLC1/IGHV3-33/IGHV3-7/IGHV3-13/IGKC/IGHV4-39/IGLC7/CD70/IGHV3-74/IGHV1-69D/IGHV3-30/IGHG1/IGHV3-66/IGHV5-51/SH2D1B/IGHV3-48/IGHV3-11/IGHV3-23/IGHV1-58/IGHV3-20/IGHV1-69/IGHV4-34/FOXJ1/IGHV2-70/IGHV3-64D/IGHV3-15/IGHG3/IGHV3-9/IGHV1-3/TREM2/IGHV3-43/IGHV3-21/IGHV4-28/IGHE/IGHV4-4/IGHV3-73/IGHD",113
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","108/2538","396/18805",0.272727272727273,2.02073930797335,8.10894827896065,1.91293769404449e-13,1.44020296640374e-10,1.13693941631565e-10,"SLC11A1/RIPK2/ASCL2/HSPD1/ZP3/ULBP3/EXO1/IL6R/CFI/ULBP2/RAET1L/AZGP1/FCGR3A/IL1B/LEF1/SECTM1/IL23A/FCGR3B/CD55/LY9/ULBP1/FCGR1A/IL6/C2/CD7/C4BPB/NOD2/CD19/KLHL6/CXCL13/IRF4/HPRT1/CR2/GZMM/FCER2/CD8A/BACH2/CEACAM1/IGHV1-45/TBX21/FCGR1BP/IGHV3-16/AICDA/IGHV2-5/FCMR/IGHA2/CCR2/KLRC1/SLAMF1/IGHV1-69-2/IGLL1/CD1A/IGHV2-70D/IGLC6/IGLC2/IGLC3/IGHV1-18/IGHV3-64/IGHV3-38/IGHV7-4-1/IGHA1/IGHV4-59/IGHV4-61/IGHV3-72/IL13RA2/C7/IGHV3-35/IGHV3-49/IGLL5/C4BPA/CLEC4G/IGLC1/IGHV3-33/IGHV3-7/IGHV3-13/IGKC/IGHV4-39/IGLC7/CD70/IGHV3-74/IGHV1-69D/IGHV3-30/IGHG1/IGHV3-66/IGHV5-51/IGHV3-48/IGHV3-11/IGHV3-23/IGHV1-58/IGHV3-20/IGHV1-69/IGHV4-34/FOXJ1/IGHV2-70/IGHV3-64D/IGHV3-15/IGHG3/IGHV3-9/IGHV1-3/TREM2/IGHV3-43/IGHV3-21/IGHV4-28/IGHE/IGHV4-4/CCL19/IGHV3-73/IGHD",108
"GO:0019730","antimicrobial humoral response","62/2538","185/18805",0.335135135135135,2.48314271718527,8.00748559798434,2.40756299007086e-12,1.6111946543552e-09,1.27192538317545e-09,"MMP7/CXCL8/SLC11A1/CXCL5/KRT6A/CXCL11/CXCL3/REG1A/CCL23/CXCL2/CXCL1/CXCL12/KLK7/REG1B/CCL14/CCL5/SPON2/S100A9/CXCL6/LGALS4/NPY/EVPL/ELANE/NOD2/CXCL13/CCL24/CXCL10/PPBP/JCHAIN/IGHA2/PRSS2/DEFA5/POMC/TSLP/DEFA6/LYZ/CCL20/WFDC3/H2BC6/IGHA1/XCL2/IGHM/SPINK5/WFDC10B/CXCL9/CTSG/CCL28/IGHG1/CCL8/IGKV3-20/PGC/IGHG3/PF4/KNG1/DMBT1/REG3A/CALCA/VIP/CCL7/IGHE/CCL19/IGHD",62
"GO:0006959","humoral immune response","86/2538","309/18805",0.27831715210356,2.06215683424249,7.43611634300759,1.74342561268127e-11,1.05006524651793e-08,8.28952999208558e-09,"MMP7/CXCL8/SLC11A1/TREM1/ZP3/CXCL5/KRT6A/SPNS2/CXCL11/EXO1/CXCL3/CFD/CFI/REG1A/CCL23/CXCL2/CXCL1/CXCL12/KLK7/IL1B/REG1B/CCL14/CD55/CCL5/SPON2/S100A9/CXCL6/LGALS4/BCL2/CFB/IL6/NPY/EVPL/C2/ELANE/C4BPB/NOD2/CXCL13/CR2/FCER2/CCL24/POU2AF1/CXCL10/PPBP/MS4A1/FCMR/JCHAIN/IGHA2/PRSS2/DEFA5/POMC/TSLP/CCR2/DEFA6/LYZ/CCL20/WFDC3/H2BC6/IGHA1/XCL2/IGHM/C7/SPINK5/C4BPA/FCN3/WFDC10B/CXCL9/CTSG/CCL28/IGHG1/CCL8/IGKV3-20/FOXJ1/PGC/IGHG3/PF4/TREM2/KNG1/DMBT1/REG3A/CALCA/VIP/CCL7/IGHE/CCL19/IGHD",86
