"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","103/1269","370/9376",0.278378378378378,2.05679722275467,8.20564863806851,1.03227599305409e-13,3.57167493596715e-11,2.71651577119498e-11,"GRIN2D/PTH1R/HTR1D/GRIN2B/TMEM97/NPFFR1/P2RY1/GLP2R/APLN/ADRA2A/FPR2/GRIN2A/EDNRA/AGT/GRIA1/NMU/GABRD/GRIN3A/NPSR1/F2R/AVPR1B/HTR7/P2RX6/OXTR/DRD2/UCN2/EDN3/GABRE/KISS1/SST/UTS2B/ADRA1A/THRB/F2RL2/FPR1/LPAR1/P2RX1/SSTR5/APELA/NR3C1/GRIA3/SCTR/P2RX4/NPY/PMCH/GRIK4/P2RY10/GRIA4/NMB/GABRP/CNR2/EDN2/LTB4R/P2RY4/GRM8/PNOC/NPY2R/PTGDR/P2RX2/GCGR/P2RY14/UCN3/GALR1/CHRM5/VGF/P2RY8/NPY4R/GRIK3/ADORA3/NPW/PRSS2/POMC/GHR/PYY/CNR1/GRP/VIPR1/NPY4R2/GRPR/GAL/GABRG2/GABRB3/ADRB1/INSL5/GABRA2/SSTR3/HTR4/GLRA2/CTSG/HTR6/GRIK5/ADRA2C/OPRM1/KNG1/GCG/CALCA/VIP/AGTR1/ADRB3/PPY/ADCYAP1R1/DRD5/TACR2",103
"Organismal Systems","Digestive system","hsa04976","Bile secretion","38/1269","90/9376",0.422222222222222,3.11958672620611,7.99363785266748,1.6869515281781e-11,2.51127910175921e-09,1.91000844368665e-09,"ABCG2/ABCB11/AQP9/CA2/SLCO1B3-SLCO1B7/SLCO1B3/ABCC2/AQP8/UGT1A9/UGT1A10/UGT1A1/SLC51B/UGT1A8/CYP3A4/UGT1A4/UGT1A7/ADCY5/UGT1A3/SLC4A4/UGT1A5/PRKACB/SCTR/ATP1A3/SLC2A1/UGT1A6/ATP1A2/NR1H4/UGT2A3/NR0B2/SLCO1A2/SLC51A/SLC9A3/ATP1B2/ABCB1/BAAT/SLC10A1/UGT2B10/ATP1A4",38
NA,NA,"hsa04082","Neuroactive ligand signaling","63/1269","199/9376",0.316582914572864,2.33907124273852,7.5538128116873,2.17740962580278e-11,2.51127910175921e-09,1.91000844368665e-09,"GRIN2D/HTR1D/GRIN2B/P2RY1/ADRA2A/GRIN2A/GRIA1/GNA11/GABRD/GRIN3A/HTR7/P2RX6/SLC17A8/DRD2/P2RY12/GABRE/GNG7/ADCY5/GNG4/SLC17A9/ADRA1A/SLC17A7/PRKACB/HTR3A/SLC1A1/P2RX1/GRIA3/P2RX4/GRIK4/PRKCB/GRIA4/GABRP/PLCB4/P2RY4/GRM8/PNOC/P2RX2/P2RY14/CHAT/CHRM5/ACHE/PRKCG/GRIK3/ADORA3/POMC/HTR3E/SLC1A7/GABRG2/GABRB3/ADRB1/GABRA2/GNG8/GNAO1/HTR4/HTR6/HTR3C/GRIK5/ADRA2C/OPRM1/SLC5A7/SLC6A4/DRD5/TACR2",63
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","51/1269","158/9376",0.322784810126582,2.38489391627016,6.9456526690158,8.42360342042104e-10,7.2864169586642e-08,5.54184435554016e-08,"MCM6/CCND1/TRIP13/MYC/PRKDC/MCM3/MCM7/E2F1/ORC6/CDC6/CDC14A/MCM2/CHEK1/MTBP/PKMYT1/MAD2L1/E2F3/CDCA5/CDC25B/TICRR/CDK1/RBL1/MCM4/E2F5/CCNA2/SGO1/CDKN2B/CCNB1/CDC7/DBF4/DDX11/CCNE1/PLK1/SKP2/CDKN2A/CDC25A/BUB1B/BUB1/PCNA/CDC45/FBXO5/CDT1/ORC1/TTK/NDC80/ESPL1/CDC20/PTTG1/ESCO2/KNL1/AURKB",51
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","38/1269","103/9376",0.368932038834951,2.72585247920922,6.9678455574153,1.84485005562256e-09,1.27663623849081e-07,9.70973713485556e-08,"COL11A1/COL10A1/COL1A1/SLC36A1/COL7A1/SLC8A3/COL8A1/COL1A2/COL19A1/COL5A2/COL12A1/MEP1B/SLC1A1/COL3A1/MEP1A/COL4A6/COL25A1/ATP1A3/COL9A1/COL27A1/COL4A1/ATP1A2/COL9A3/COL4A3/COL5A1/MME/COL18A1/PRSS2/SLC15A1/COL6A3/SLC6A19/SLC9A3/ATP1B2/COL2A1/CPB1/ATP1A4/SLC8A2/COL6A5",38
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","78/1269","298/9376",0.261744966442953,1.9339013438685,6.48187133309558,2.70145382388279e-09,1.55783837177241e-07,1.18484816836964e-07,"INHBA/CXCL8/TNFRSF6B/TNFSF15/TNFRSF12A/BMP7/CXCL5/IL11/RELL1/CXCL11/CXCL3/IL6R/IL1RN/IL1A/CCL23/CXCL2/CXCL1/BMP2/CXCL12/GDF15/OSM/TNFSF9/CCR10/IL1B/IL11RA/IL16/CCR8/TNFRSF17/IL23A/LIFR/CCL14/BMP3/AMH/CCL5/CXCR2/TNFRSF13B/CXCL6/BMP5/IL17D/IL6/CSF3/INHBB/ACVRL1/CXCR1/CXCL13/CXCL17/LIF/TNFRSF13C/IL20RA/CCL24/TNFRSF8/MSTN/TNFRSF10C/IL1R2/TNFSF11/CXCL10/TNFRSF11B/PPBP/CSF2/TSLP/CCR2/GHR/FASLG/CCL20/CNTFR/GDF1/XCL2/CCR9/IL13RA2/EDAR/CXCL9/CD70/CCL28/CCL8/PF4/BMPR1B/CCL7/CCL19",78
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","64/1269","233/9376",0.274678111587983,2.02945782052713,6.29547524511496,1.00080293694568e-08,4.67590439149175e-07,3.55636172154834e-07,"COL11A1/SPTBN2/COMP/NEBL/SNTB1/COL1A1/ITGA2/BGN/ANK3/DIAPH3/MYH15/ITGA11/LMNB2/SYNE3/THBS2/ITGB8/COL1A2/TNNI3/COL5A2/SGCG/LAMA1/TNNT3/VCAN/ITGA8/TRIM54/SPTBN5/COL3A1/COL4A6/ATP1A3/ITGB7/COL9A1/COL27A1/COL4A1/MYOM3/ATP1A2/COL9A3/COL4A3/COL5A1/MYBPC2/NEB/MYPN/AMPD1/MYOM1/FHL1/LDB3/FMN2/ANK2/SPTBN4/TNNT2/COL6A3/TNNT1/ATP1B2/XIRP1/MYL3/MYH11/LMOD1/ATP1A4/MYOT/MYL9/SGCA/ACTG2/NRAP/COL6A5/TPM2",64
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","68/1269","254/9376",0.267716535433071,1.97802225076475,6.25182657932724,1.08113396335069e-08,4.67590439149175e-07,3.55636172154834e-07,"GRIN2D/MET/GRIN2B/SLC8A3/VEGFD/GRIN2A/EDNRA/CACNA1D/GNA11/PLCD1/CACNA1A/GRIN3A/F2R/AVPR1B/HTR7/P2RX6/OXTR/FGF9/SPHK1/CAMK2B/PHKA1/PLCE1/PDGFD/VEGFA/ADRA1A/PRKACB/PLCD3/P2RX1/NTRK3/P2RX4/FGF18/PDGFRB/PLCG2/NOS3/PRKCB/PLCB4/CALML3/ERLN/P2RX2/ATP2B2/CHRM5/FGFR2/GNA15/ITPKA/RYR3/RYR1/PRKCG/FGF20/FGFR4/CAMK2A/FGF19/PLCD4/MYLK2/GRPR/ADRB1/ATP2B3/HTR4/MYLK/MCOLN2/HTR6/NOS1/GDNF/AGTR1/ADRB3/SLC8A2/DRD5/CASQ2/TACR2",68
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","33/1269","100/9376",0.33,2.43820330969267,5.72039840132134,4.54886899910304e-07,1.74878741521072e-05,1.33007865470849e-05,"CXCL8/CXCL5/CXCL11/CXCL3/IL6R/CCL23/CXCL2/CXCL1/CXCL12/CCR10/CCR8/CCL14/CCL5/CXCR2/CXCL6/IL6/CXCR1/CXCL13/IL20RA/CCL24/TNFRSF10C/CXCL10/PPBP/CCR2/CCL20/XCL2/CCR9/CXCL9/CCL28/CCL8/PF4/CCL7/CCL19",33
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","58/1269","226/9376",0.256637168141593,1.89616240228178,5.39531436873636,6.19314873090985e-07,2.14282946089481e-05,1.62977598181838e-05,"GRIN2D/HTR1D/GRIN2B/GRIN2A/EDNRA/CACNA1D/GRIA1/CNGB1/GRIN3A/F2R/OXTR/DRD2/EDN3/CREB3L3/TNNI3/CAMK2B/ADCY5/SOX9/PLCE1/SST/AMH/PDE3A/PRKACB/FXYD1/SSTR5/GRIA3/NPY/ATP1A3/HCAR3/GRIA4/CALML3/EDN2/ATP1A2/HCAR1/HCAR2/ATP2B2/POMC/CAMK2A/GPR119/ATP1B2/PDE10A/ADRB1/ATP2B3/HTR4/HTR6/FFAR2/CNGA3/ATP1A4/MYL9/HCN4/KCNK2/GCG/POPDC3/VIP/POPDC2/POPDC1/ADCYAP1R1/DRD5",58
