"GSM_ID","SampleName","Condition","GSE","condition","batch"
"GSM4284531","CRC1N","Normal","GSE144259","Normal","GSE144259"
"GSM4284532","CRC1T","Tumor","GSE144259","Tumor","GSE144259"
"GSM4284534","CRC2N","Normal","GSE144259","Normal","GSE144259"
"GSM4284535","CRC2T","Tumor","GSE144259","Tumor","GSE144259"
"GSM4284537","CRC3N","Normal","GSE144259","Normal","GSE144259"
"GSM4284538","CRC3T","Tumor","GSE144259","Tumor","GSE144259"
"GSM1228184","AMC_2-T","Tumor","GSE50760","Tumor","GSE50760"
"GSM1228185","AMC_3-T","Tumor","GSE50760","Tumor","GSE50760"
"GSM1228186","AMC_5-T","Tumor","GSE50760","Tumor","GSE50760"
"GSM1228187","AMC_6-T","Tumor","GSE50760","Tumor","GSE50760"
"GSM1228188","AMC_7-T","Tumor","GSE50760","Tumor","GSE50760"
"GSM1228189","AMC_8-T","Tumor","GSE50760","Tumor","GSE50760"
"GSM1228190","AMC_9-T","Tumor","GSE50760","Tumor","GSE50760"
"GSM1228191","AMC_10-T","Tumor","GSE50760","Tumor","GSE50760"
"GSM1228192","AMC_12-T","Tumor","GSE50760","Tumor","GSE50760"
"GSM1228193","AMC_13-T","Tumor","GSE50760","Tumor","GSE50760"
"GSM1228194","AMC_17-T","Tumor","GSE50760","Tumor","GSE50760"
"GSM1228195","AMC_18-T","Tumor","GSE50760","Tumor","GSE50760"
"GSM1228196","AMC_19-T","Tumor","GSE50760","Tumor","GSE50760"
"GSM1228197","AMC_20-T","Tumor","GSE50760","Tumor","GSE50760"
"GSM1228198","AMC_21-T","Tumor","GSE50760","Tumor","GSE50760"
"GSM1228199","AMC_22-T","Tumor","GSE50760","Tumor","GSE50760"
"GSM1228200","AMC_23-T","Tumor","GSE50760","Tumor","GSE50760"
"GSM1228201","AMC_24-T","Tumor","GSE50760","Tumor","GSE50760"
"GSM1228202","AMC_2-N","Normal","GSE50760","Normal","GSE50760"
"GSM1228203","AMC_3-N","Normal","GSE50760","Normal","GSE50760"
"GSM1228204","AMC_5-N","Normal","GSE50760","Normal","GSE50760"
"GSM1228205","AMC_6-N","Normal","GSE50760","Normal","GSE50760"
"GSM1228206","AMC_7-N","Normal","GSE50760","Normal","GSE50760"
"GSM1228207","AMC_8-N","Normal","GSE50760","Normal","GSE50760"
"GSM1228208","AMC_9-N","Normal","GSE50760","Normal","GSE50760"
"GSM1228209","AMC_10-N","Normal","GSE50760","Normal","GSE50760"
"GSM1228210","AMC_12-N","Normal","GSE50760","Normal","GSE50760"
"GSM1228211","AMC_13-N","Normal","GSE50760","Normal","GSE50760"
"GSM1228212","AMC_17-N","Normal","GSE50760","Normal","GSE50760"
"GSM1228213","AMC_18-N","Normal","GSE50760","Normal","GSE50760"
"GSM1228214","AMC_19-N","Normal","GSE50760","Normal","GSE50760"
"GSM1228215","AMC_20-N","Normal","GSE50760","Normal","GSE50760"
"GSM1228216","AMC_21-N","Normal","GSE50760","Normal","GSE50760"
"GSM1228217","AMC_22-N","Normal","GSE50760","Normal","GSE50760"
"GSM1228218","AMC_23-N","Normal","GSE50760","Normal","GSE50760"
"GSM1228219","AMC_24-N","Normal","GSE50760","Normal","GSE50760"
"GSM2322216","2504588_N","Normal","GSE87096","Normal","GSE87096"
"GSM2322219","2504588_T","Tumor","GSE87096","Tumor","GSE87096"
"GSM2322222","2512618_N","Normal","GSE87096","Normal","GSE87096"
"GSM2322225","2512618_T","Tumor","GSE87096","Tumor","GSE87096"
"GSM2322228","2539382_N","Normal","GSE87096","Normal","GSE87096"
"GSM2322231","2539382_T","Tumor","GSE87096","Tumor","GSE87096"
"GSM2322234","2551349_N","Normal","GSE87096","Normal","GSE87096"
"GSM2322237","2551349_T","Tumor","GSE87096","Tumor","GSE87096"
"GSM2322240","2553763_N","Normal","GSE87096","Normal","GSE87096"
"GSM2322243","2553763_T","Tumor","GSE87096","Tumor","GSE87096"
"GSM2322246","S12_N","Normal","GSE87096","Normal","GSE87096"
"GSM2322249","S12_T","Tumor","GSE87096","Tumor","GSE87096"
